Full Name,ID No,Gender,Enrollment Date,Program of Study,Course Code,Semester,Grade,GPA,Cumulative GPA,Course Status,Academic Standing
Elizabeth Wambui,S36105794,Female,2021-03-11,Psychology,PSY201,Spring 2024,A,2.87,1.44,Failed,Good Standing
Jane Nyambura,S25322858,Female,2024-06-22,Business Administration,CS101,Fall 2023,B+,1.72,1.58,Withdrawn,Probation
Esther Achieng,S12701565,Female,2018-06-29,Business Administration,MATH250,Spring 2024,C,1.81,1.7,Failed,Probation
Wangari Odhiambo,S77150789,Female,2022-08-06,Law,MATH250,Spring 2024,B+,2.35,2.02,Failed,Good Standing
James Otieno,S68284691,Male,2022-06-05,Computer Science,LAW102,Summer 2024,C+,2.26,2.14,Failed,Suspended
Joseph Kariuki,S66950886,Male,2020-11-05,Psychology,BIO150,Fall 2023,B,2.72,2.43,Failed,Good Standing
David Mwangi,S44023683,Male,2024-10-24,Business Administration,BIO150,Fall 2024,D+,3.3,2.87,Completed,Probation
Daniel Mwangi,S92388362,Male,2022-08-12,Nursing,ECON150,Spring 2024,A,3.94,3.41,Completed,Good Standing
Daniel Otieno,S31002384,Male,2022-10-07,Business Administration,ENGR301,Fall 2024,D,1.94,2.67,Failed,Good Standing
Elizabeth Karanja,S30445624,Female,2021-09-11,Mechanical Engineering,CS101,Spring 2024,B,2.6,2.63,Withdrawn,Suspended
Joseph Njeri,S74303785,Male,2019-02-13,Mechanical Engineering,ECON150,Fall 2024,D+,1.85,2.24,Withdrawn,Good Standing
Richard Wambui,S37984398,Male,2020-09-27,Education,ECON150,Spring 2024,D,3.42,2.83,Completed,Probation
Jane Njeri,S70524351,Female,2023-07-30,Computer Science,ECON150,Fall 2024,A,3.58,3.21,Completed,Probation
Daniel Otieno,S22996182,Male,2022-07-04,Computer Science,ENGR301,Fall 2023,A,2.6,2.91,Withdrawn,Suspended
Joseph Kariuki,S65209414,Male,2023-09-20,Psychology,BIO150,Spring 2024,D,1.77,2.34,Completed,Probation
Mary Wambui,S41127696,Female,2019-09-01,Nursing,LAW102,Fall 2023,B+,3.1,2.72,Failed,Probation
Daniel Kariuki,S65202004,Male,2018-11-22,Law,PSY201,Fall 2024,D,2.12,2.42,Failed,Suspended
Joseph Karanja,S22381350,Male,2022-11-14,Computer Science,ENGR301,Fall 2023,C+,3.56,2.99,Withdrawn,Suspended
Peter Odhiambo,S61990703,Male,2024-01-21,Education,LAW102,Summer 2024,C,3.03,3.01,Withdrawn,Probation
Alice Njeri,S86513491,Female,2024-10-02,Psychology,CS101,Summer 2024,D,1.61,2.31,Failed,Probation
Wangari Achieng,S49614165,Female,2018-09-12,Business Administration,MATH250,Spring 2024,B+,2.74,2.53,Withdrawn,Good Standing
Wangari Mwangi,S70219875,Female,2022-11-09,Computer Science,CS101,Fall 2024,B,3.93,3.23,Withdrawn,Good Standing
Emily Achieng,S64872002,Female,2020-11-27,Business Administration,MATH250,Spring 2024,B,2.09,2.66,Withdrawn,Suspended
Lucy Wambui,S57526029,Female,2021-02-21,Nursing,MATH250,Fall 2023,F,3.84,3.25,Failed,Probation
Luke Odhiambo,S50931133,Male,2023-12-23,Business Administration,PSY201,Spring 2024,F,2.01,2.63,Withdrawn,Suspended
James Karanja,S11873712,Male,2024-08-30,Computer Science,MATH250,Fall 2023,B+,1.93,2.28,Completed,Good Standing
Luke Kariuki,S30903107,Male,2021-03-01,Mechanical Engineering,PSY201,Fall 2024,D,3.12,2.7,Completed,Probation
Esther Otieno,S48504620,Female,2018-02-02,Law,PSY201,Spring 2024,F,3.81,3.25,Withdrawn,Probation
John Otieno,S63333136,Male,2018-07-07,Mechanical Engineering,PSY201,Spring 2024,C+,1.19,2.22,Withdrawn,Suspended
Wangari Achieng,S44661181,Female,2021-12-09,Business Administration,CS101,Fall 2023,F,3.53,2.88,Withdrawn,Probation
Wangari Wambui,S39599343,Female,2023-02-11,Law,ENGR301,Fall 2023,C+,3.5,3.19,Withdrawn,Suspended
Samuel Nyambura,S28203011,Male,2020-07-15,Education,MATH250,Spring 2024,C,3.22,3.21,Withdrawn,Probation
James Nyambura,S96531596,Male,2024-07-08,Mechanical Engineering,LAW102,Fall 2023,F,1.77,2.49,Withdrawn,Good Standing
Samuel Mwangi,S85862042,Male,2021-08-08,Law,PSY201,Summer 2024,B,2.47,2.48,Failed,Suspended
Richard Mwangi,S31258772,Male,2023-07-04,Nursing,LAW102,Spring 2024,C+,1.03,1.75,Withdrawn,Good Standing
Jane Wambui,S26262554,Female,2020-04-28,Psychology,ECON150,Summer 2024,B+,2.29,2.02,Failed,Probation
Samuel Karanja,S98355342,Male,2018-07-11,Psychology,PSY201,Fall 2023,B,3.8,2.91,Withdrawn,Suspended
James Mwangi,S57531052,Male,2024-11-29,Psychology,MATH250,Fall 2024,A,3.27,3.09,Withdrawn,Good Standing
David Njeri,S47818406,Male,2024-04-10,Law,LAW102,Fall 2023,F,2.79,2.94,Failed,Probation
Esther Mwangi,S65974719,Female,2018-12-17,Psychology,ECON150,Fall 2024,A,2.53,2.73,Withdrawn,Suspended
John Nyambura,S76192298,Male,2024-07-25,Law,CS101,Spring 2024,C,2.31,2.52,Failed,Good Standing
Joseph Kariuki,S23297152,Male,2021-04-07,Education,ECON150,Fall 2023,F,2.02,2.27,Completed,Probation
