Full Name,ID No,Gender,Date of Birth,Age,Ethnicity,Disability Status,Household Income,Primary Language,Grade,County,School Type
Jane Kariuki,S88319334,Female,10/07/2009,15,Mijikenda,Hearing Impairment,"< KSh 20,000",Luhya,Class 7,Eldoret,Special School
Richard Wambui,S21944867,Male,29/07/2005,19,Mijikenda,Physical,"> KSh 100,000",Maasai,Class 6,Machakos,Private
James Kariuki,S20077326,Male,07/05/2009,15,Coast,Visual Impairment,"KSh 20,000 - KSh 50,000",Luhya,Form 4,Nairobi,Private
Michael Njeri,S84313124,Male,06/02/2010,14,Kisii,Visual Impairment,"KSh 50,000 - KSh 100,000",Maasai,Class 6,Kiambu,Private
Richard Karanja,S76856423,Male,28/11/2008,16,Kikuyu,Visual Impairment,"> KSh 100,000",Kikuyu,Class 8,Nairobi,Private
David Njeri,S38336225,Male,21/08/2007,17,Luhya,Physical,"KSh 50,000 - KSh 100,000",Kiswahili,Form 2,Nairobi,Special School
Sarah Njeri,S65645987,Female,06/12/2007,17,Kalenjin,None,"KSh 20,000 - KSh 50,000",Maasai,Class 8,Uasin Gishu,Public
Luke Karanja,S38217440,Male,05/02/2011,13,Meru,Hearing Impairment,"KSh 50,000 - KSh 100,000",Luhya,Class 8,Eldoret,Special School
Peter Wambui,S75162394,Male,25/06/2014,10,Luhya,None,"< KSh 20,000",Luo,Class 7,Nyeri,Special School
Joseph Nyambura,S96687159,Male,14/09/2011,13,Mijikenda,None,"KSh 20,000 - KSh 50,000",Luhya,Class 4,Kisumu,Special School
James Karanja,S38644440,Male,14/08/2007,17,Luo,None,"KSh 20,000 - KSh 50,000",English,Form 4,Uasin Gishu,Public
Richard Nyambura,S63417702,Male,21/03/2007,17,Mijikenda,Hearing Impairment,"KSh 20,000 - KSh 50,000",Kiswahili,Form 4,Machakos,Public
Emily Wambui,S75323919,Female,06/10/2007,17,Kikuyu,Hearing Impairment,"KSh 50,000 - KSh 100,000",Swahili,Class 1,Kisumu,Special School
Wangari Achieng,S57456787,Female,12/02/2013,11,Meru,Visual Impairment,"> KSh 100,000",Kikuyu,Class 5,Eldoret,Private
Richard Wambui,S79923858,Male,26/03/2012,12,Luhya,None,"> KSh 100,000",Swahili,Class 1,Uasin Gishu,Private
Grace Njeri,S12847869,Female,02/07/2013,11,Kikuyu,Hearing Impairment,"< KSh 20,000",Maasai,Form 4,Uasin Gishu,Special School
Mary Njeri,S80036511,Female,08/11/2011,13,Kamba,Physical,"KSh 20,000 - KSh 50,000",English,Class 4,Eldoret,Public
Alice Otieno,S48233162,Female,04/04/2006,18,Kalenjin,None,"KSh 20,000 - KSh 50,000",English,Class 8,Machakos,Special School
Alice Otieno,S72657154,Female,09/05/2013,11,Luo,Learning,"> KSh 100,000",Luo,Class 1,Uasin Gishu,Special School
Peter Otieno,S24457925,Male,11/06/2011,13,Maasai,None,"KSh 50,000 - KSh 100,000",Maasai,Class 2,Mombasa,Private
Mary Wambui,S18020671,Female,31/03/2005,19,Luo,None,"> KSh 100,000",Kiswahili,Class 7,Mombasa,Public
Peter Nyambura,S82624758,Male,08/01/2005,19,Coast,Visual Impairment,"< KSh 20,000",Maasai,Class 4,Machakos,Public
Luke Nyambura,S45364788,Male,16/04/2011,13,Luo,Visual Impairment,"> KSh 100,000",Kiswahili,Form 4,Nairobi,Private
Emily Achieng,S13877408,Female,26/03/2005,19,Kisii,Learning,"KSh 20,000 - KSh 50,000",English,Class 6,Machakos,Private
Grace Karanja,S90899369,Female,24/08/2005,19,Mijikenda,None,"> KSh 100,000",Luhya,Class 2,Murang'a,Special School
David Nyambura,S94051060,Male,21/01/2008,16,Kamba,Physical,"< KSh 20,000",Maasai,Class 7,Mombasa,Special School
Wangari Wambui,S98219007,Female,15/11/2006,18,Kamba,Physical,"KSh 50,000 - KSh 100,000",Kikuyu,Form 2,Kiambu,Private
Lucy Nyambura,S50489970,Female,22/04/2014,10,Kalenjin,Learning,"> KSh 100,000",English,Class 4,Kiambu,Special School
Lucy Nyambura,S88753369,Female,23/01/2005,19,Maasai,Learning,"KSh 20,000 - KSh 50,000",Luo,Class 3,Nyeri,Private
Jane Achieng,S16994277,Female,22/04/2014,10,Luhya,Visual Impairment,"< KSh 20,000",Kiswahili,Class 7,Mombasa,Special School
Sarah Njeri,S21601312,Female,21/05/2006,18,Kalenjin,None,"< KSh 20,000",Swahili,Form 4,Murang'a,Public
Grace Odhiambo,S96704095,Female,05/08/2013,11,Maasai,Physical,"KSh 20,000 - KSh 50,000",Kiswahili,Form 3,Kisumu,Private
Alice Njeri,S52863455,Female,15/11/2011,13,Coast,Physical,"KSh 20,000 - KSh 50,000",Luo,Class 3,Uasin Gishu,Public
John Mwangi,S89775026,Male,08/10/2010,14,Meru,Hearing Impairment,"< KSh 20,000",Maasai,Class 7,Eldoret,Private
Alice Otieno,S98246392,Female,09/08/2009,15,Luo,None,"KSh 20,000 - KSh 50,000",Luo,Class 2,Kisumu,Private
