Full Name,Gender,Enrollment Status,Program of Study / Major,Enrollment Date,Graduation Date,County,University Enrolled
Daniel Odhiambo,Male,Withdrawn,Nursing,2024-12-06,,Mombasa,University of Nairobi
Michael Wambui,Male,Not Enrolled,Mechanical Engineering,2021-03-06,,Nakuru,JKUAT
Jane Wambui,Female,Not Enrolled,Computer Science,2021-12-09,,Mombasa,Moi University
Peter Otieno,Male,Not Enrolled,Mechanical Engineering,2022-08-02,,Meru,Moi University
Grace Mwangi,Female,Enrolled,Computer Science,2021-06-18,2026-06-17,Nyeri,University of Nairobi
Michael Nyambura,Male,Withdrawn,Law,2020-01-17,,Nairobi,Kenyatta University
James Odhiambo,Male,Not Enrolled,Nursing,2024-01-02,,Mombasa,Moi University
Esther Njeri,Female,Not Enrolled,Nursing,2022-11-16,,Mombasa,University of Nairobi
Wangari Njeri,Female,Not Enrolled,Mechanical Engineering,2023-10-04,,Meru,JKUAT
Grace Njeri,Female,Not Enrolled,Business Administration,2021-11-26,,Nyeri,Kenyatta University
Esther Kariuki,Female,Not Enrolled,Nursing,2020-08-08,,Meru,Moi University
Richard Karanja,Male,Not Enrolled,Law,2022-09-27,,Machakos,University of Nairobi
John Otieno,Male,Enrolled,Nursing,2020-07-04,2021-07-04,Nyeri,University of Nairobi
Joseph Wambui,Male,Enrolled,Business Administration,2018-11-29,2020-11-28,Kiambu,JKUAT
Daniel Odhiambo,Male,Not Enrolled,Law,2018-02-10,,Nakuru,Egerton University
Alice Otieno,Female,Withdrawn,Business Administration,2022-02-04,,Nyeri,University of Nairobi
Joseph Karanja,Male,Withdrawn,Computer Science,2018-07-14,,Kiambu,JKUAT
Lucy Njeri,Female,Enrolled,Law,2018-04-10,2019-04-10,Meru,JKUAT
Samuel Wambui,Male,Not Enrolled,Business Administration,2022-02-08,,Nakuru,Egerton University
David Odhiambo,Male,Withdrawn,Computer Science,2020-01-18,,Kiambu,Moi University
Joseph Otieno,Male,Enrolled,Law,2022-01-10,2028-01-09,Nyeri,JKUAT
Sarah Odhiambo,Female,Withdrawn,Business Administration,2019-08-16,,Meru,Moi University
Jane Mwangi,Female,Withdrawn,Computer Science,2021-11-24,,Nairobi,Kenyatta University
Joseph Otieno,Male,Enrolled,Business Administration,2019-12-14,2021-12-13,Nairobi,University of Nairobi
David Mwangi,Male,Enrolled,Computer Science,2023-12-12,2025-12-11,Nyeri,Moi University
Jane Mwangi,Female,Withdrawn,Law,2020-07-01,,Nyeri,Kenyatta University
Emily Otieno,Female,Enrolled,Mechanical Engineering,2020-03-17,2022-03-17,Machakos,JKUAT
Michael Achieng,Male,Withdrawn,Law,2021-05-06,,Mombasa,Egerton University
John Mwangi,Male,Enrolled,Business Administration,2023-04-25,2028-04-23,Kisumu,Egerton University
Alice Nyambura,Female,Withdrawn,Business Administration,2021-11-26,,Mombasa,JKUAT
John Karanja,Male,Not Enrolled,Law,2022-01-01,,Nakuru,Moi University
Emily Njeri,Female,Enrolled,Business Administration,2020-09-25,2026-09-24,Nakuru,Moi University
Peter Nyambura,Male,Withdrawn,Education,2021-03-04,,Kisumu,Egerton University
Alice Otieno,Female,Not Enrolled,Computer Science,2022-11-25,,Kiambu,Kenyatta University
Emily Wambui,Female,Withdrawn,Psychology,2024-12-23,,Machakos,University of Nairobi
Lucy Njeri,Female,Not Enrolled,Computer Science,2020-10-28,,Machakos,University of Nairobi
Wangari Mwangi,Female,Not Enrolled,Computer Science,2021-07-12,,Machakos,JKUAT
Peter Odhiambo,Male,Withdrawn,Education,2018-04-19,,Nairobi,University of Nairobi
Michael Kariuki,Male,Withdrawn,Psychology,2023-03-01,,Kiambu,Kenyatta University
Lucy Odhiambo,Female,Withdrawn,Computer Science,2019-04-15,,Meru,Kenyatta University
Esther Odhiambo,Female,Enrolled,Law,2024-06-14,2026-06-14,Nairobi,Kenyatta University
David Wambui,Male,Enrolled,Computer Science,2023-08-16,2024-08-15,Mombasa,Egerton University
Jane Otieno,Female,Withdrawn,Mechanical Engineering,2020-07-26,,Nyeri,University of Nairobi
Esther Odhiambo,Female,Withdrawn,Business Administration,2020-02-18,,Kiambu,Kenyatta University
Richard Mwangi,Male,Withdrawn,Psychology,2020-01-05,,Nakuru,Moi University
Esther Odhiambo,Female,Enrolled,Mechanical Engineering,2018-05-03,2020-05-02,Machakos,JKUAT
Grace Odhiambo,Female,Enrolled,Nursing,2021-09-05,2026-09-04,Machakos,Egerton University
Wangari Otieno,Female,Enrolled,Computer Science,2018-07-15,2024-07-13,Mombasa,Egerton University
Luke Mwangi,Male,Not Enrolled,Education,2024-11-07,,Nairobi,Kenyatta University
David Karanja,Male,Withdrawn,Psychology,2018-04-10,,Nyeri,Egerton University
Wangari Kariuki,Female,Enrolled,Business Administration,2022-11-27,2025-11-26,Nyeri,Kenyatta University
Luke Achieng,Male,Not Enrolled,Education,2024-01-31,,Nairobi,Egerton University
Richard Nyambura,Male,Not Enrolled,Education,2024-09-06,,Nakuru,University of Nairobi
Elizabeth Njeri,Female,Enrolled,Law,2023-07-28,2026-07-27,Nairobi,Egerton University
Alice Odhiambo,Female,Not Enrolled,Psychology,2023-07-30,,Nakuru,Kenyatta University
Richard Karanja,Male,Not Enrolled,Law,2023-02-11,,Nairobi,Egerton University
John Karanja,Male,Enrolled,Business Administration,2022-06-08,2023-06-08,Kiambu,Egerton University
Samuel Kariuki,Male,Not Enrolled,Business Administration,2021-06-28,,Nairobi,JKUAT
Elizabeth Njeri,Female,Enrolled,Business Administration,2023-06-18,2024-06-17,Nyeri,Moi University
Emily Wambui,Female,Enrolled,Education,2020-03-11,2022-03-11,Mombasa,JKUAT
John Wambui,Male,Enrolled,Education,2024-03-19,2028-03-18,Nairobi,JKUAT
Richard Nyambura,Male,Enrolled,Nursing,2019-11-04,2023-11-03,Nairobi,Moi University
Peter Njeri,Male,Not Enrolled,Mechanical Engineering,2019-07-24,,Nakuru,Moi University
Grace Odhiambo,Female,Enrolled,Education,2020-11-12,2024-11-11,Nairobi,University of Nairobi
Michael Kariuki,Male,Not Enrolled,Education,2023-11-26,,Nakuru,Kenyatta University
Luke Mwangi,Male,Enrolled,Nursing,2020-01-27,2026-01-25,Kiambu,University of Nairobi
Grace Karanja,Female,Withdrawn,Computer Science,2020-02-24,,Nairobi,JKUAT
